tip	Strain	BioSample	GCA	GCA_noversion	match_source
21ER0942	21ER0942	SAMN44062692	GCA_049030025.1	GCA_049030025	master_by_strain
21ER0952	21ER0952	SAMN44062693	GCA_049030275.1	GCA_049030275	master_by_strain
21ER0953	21ER0953	SAMN44062694	GCA_049030395.1	GCA_049030395	master_by_strain
21ER0955	21ER0955	SAMN44062696	GCA_049031635.1	GCA_049031635	master_by_strain
21ER1334	21ER1334		GCA_039555455.1	GCA_039555455	manual_pfr_local
21ER1438	21ER1438	SAMN44062697	GCA_049031695.1	GCA_049031695	master_by_strain
21ER1445	21ER1445	SAMN44062698	GCA_049031755.1	GCA_049031755	master_by_strain
21ER1446	21ER1446	SAMN44062699	GCA_049031895.1	GCA_049031895	master_by_strain
SRR15218475	SRR15218475	N/A	PubMLST_id:7974	PubMLST_id:7974	master_by_strain
SRR15218481	SRR15218481	N/A	PubMLST_id:7978	PubMLST_id:7978	master_by_strain
SRR15218922	SRR15218922	SAMN20352555	GCA_025067035.1	GCA_025067035	master_by_strain
SRR15219032	SRR15219032	N/A	PubMLST_id:8260	PubMLST_id:8260	master_by_strain
SRR15219033	SRR15219033	SAMN20353146	GCA_023821265.1	GCA_023821265	master_by_strain
SRR15612060	PNUSAV002029	SAMN20976192	GCA_019774395.1	GCA_019774395	master_by_biosample_via_srr
SRR17035888	ST50	SAMN23430656	GCA_024483205.1	GCA_024483205	master_by_biosample_via_srr
SRR1815546	CDC_K5485	SAMN03358835	GCA_001728565.1	GCA_001728565	master_by_biosample_via_srr
SRR22301791	PNUSAV003582	SAMN31743121	GCA_026187055.1	GCA_026187055	master_by_biosample_via_srr
SRR23646453	PNUSAV003632	SAMN33495990	GCA_028921885.1	GCA_028921885	master_by_biosample_via_srr
SRR24487435	PNUSAV003720	SAMN35089521	GCA_031153455.1	GCA_031153455	master_by_biosample_via_srr
SRR25518329	PNUSAV004335	SAMN36838897	GCA_031102145.1	GCA_031102145	master_by_biosample_via_srr
SRR25583241	PNUSAV004356	SAMN36909166	GCA_031101075.1	GCA_031101075	master_by_biosample_via_srr
SRR25940681	PNUSAV004558	SAMN37316152	GCA_031308645.1	GCA_031308645	master_by_biosample_via_srr
SRR29658030	50	SAMN42183095	GCA_043311815.1	GCA_043311815	master_by_biosample_via_srr
SRR29658031	50	SAMN42183094	GCA_043311795.1	GCA_043311795	master_by_biosample_via_srr
SRR29658032	50	SAMN42183093	GCA_043311775.1	GCA_043311775	master_by_biosample_via_srr
SRR29658037	50	SAMN42183111	GCA_043311695.1	GCA_043311695	master_by_biosample_via_srr
SRR29658042	50	SAMN42183106	GCA_043307315.1	GCA_043307315	master_by_biosample_via_srr
SRR29658043	50	SAMN42183088	GCA_043307275.1	GCA_043307275	master_by_biosample_via_srr
SRR29658053	50	SAMN42183096	GCA_043307075.1	GCA_043307075	master_by_biosample_via_srr
